snr_db,freq_sep,eig_mag,eig_mag_spread,rho_mode,delays_over_timesteps,num_delays,temporal_dim,spatial_dim,num_modes,top_amplitude,max_rank,artificial_damping,n_iter,dt,noise_mode,base_random_seed,random_seed,method,abs_diff_mean,abs_diff_std,bias_frac_over,bias_frac_under,bias_skewness,order_hit_prob,mean_time_sec,precision,recall,f1,accuracy,tp,fp,fn,tn,max_pa_clean_mean,max_pa_clean_std,sine_max_pa_clean_mean,sine_max_pa_clean_std,mean_pa_clean_mean,mean_pa_clean_std,max_pa_practical_mean,max_pa_practical_std,sine_max_pa_practical_mean,sine_max_pa_practical_std,mean_pa_practical_mean,mean_pa_practical_std,job_id
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,AIC,0.796,0.4029689814365368,0.0,0.796,1.4690957053061262,0.204,1.3102808313369751,,,,,,,,,0.6670907082475701,0.0441095254583149,0.6180996134201431,0.0344659569211072,0.5305072079380418,0.0277172742999444,0.1050809448486807,0.0283111840830183,0.1048421017770738,0.0280970006815309,0.0656733200528282,0.0149661690761309,10
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,gaussian,196,9196,AIC,0.81,0.3923009049186606,0.0,0.81,1.5804194999972037,0.19,1.2989592170715332,,,,,,,,,0.6668307101346119,0.04638376150284,0.6178312957530836,0.0362318342924641,0.5301770493072988,0.0275941094283411,0.105588382410368,0.030233402750016,0.1053397289357884,0.029997066462643,0.0658921017092258,0.0159989128899897,9
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,hetero,196,11196,AIC,0.966,0.181229136730273,0.0,0.966,5.14266092536276,0.034,1.2843123393058775,,,,,,,,,0.6453484055164299,0.1110813300058063,0.5970166787552653,0.0661268110627957,0.4713839542480146,0.0572793690453892,0.2234079154799073,0.160488091359056,0.215499889760065,0.1191815837693595,0.1279894633418612,0.0807121535480567,11
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,BIC,1.0,0.0,0.0,1.0,,0.0,1.3102808313369751,,,,,,,,,0.6670907082475701,0.0441095254583149,0.6180996134201431,0.0344659569211072,0.5305072079380418,0.0277172742999444,0.1050809448486807,0.0283111840830183,0.1048421017770738,0.0280970006815309,0.0656733200528282,0.0149661690761309,10
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,gaussian,196,9196,BIC,1.0,0.0,0.0,1.0,,0.0,1.2989592170715332,,,,,,,,,0.6668307101346119,0.04638376150284,0.6178312957530836,0.0362318342924641,0.5301770493072988,0.0275941094283411,0.105588382410368,0.030233402750016,0.1053397289357884,0.029997066462643,0.0658921017092258,0.0159989128899897,9
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,hetero,196,11196,BIC,1.0,0.0,0.0,1.0,,0.0,1.2843123393058775,,,,,,,,,0.6453484055164299,0.1110813300058063,0.5970166787552653,0.0661268110627957,0.4713839542480146,0.0572793690453892,0.2234079154799073,0.160488091359056,0.215499889760065,0.1191815837693595,0.1279894633418612,0.0807121535480567,11
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,ESL-Norm,5.656,3.741879741520296,0.932,0.002,0.1553585501088192,0.066,1.3102808313369751,0.2603240982749608,0.996,0.4127641939494405,0.6221333333333333,996.0,2830.0,4.0,3670.0,0.6670907082475701,0.0441095254583149,0.6180996134201431,0.0344659569211072,0.5305072079380418,0.0277172742999444,0.1050809448486807,0.0283111840830183,0.1048421017770738,0.0280970006815309,0.0656733200528282,0.0149661690761309,10
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,gaussian,196,9196,ESL-Norm,6.01,3.6772136190327593,0.936,0.0,0.0383795279565768,0.064,1.2989592170715332,0.2489388264669163,0.997,0.3984015984015984,0.5985333333333334,997.0,3008.0,3.0,3492.0,0.6668307101346119,0.04638376150284,0.6178312957530836,0.0362318342924641,0.5301770493072988,0.0275941094283411,0.105588382410368,0.030233402750016,0.1053397289357884,0.029997066462643,0.0658921017092258,0.0159989128899897,9
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,hetero,196,11196,ESL-Norm,0.178,0.9624531157412292,0.066,0.002,8.120758974458873,0.932,1.2843123393058775,0.9190432382704692,0.999,0.9573550551030188,0.9881333333333332,999.0,88.0,1.0,6412.0,0.6453484055164299,0.1110813300058063,0.5970166787552653,0.0661268110627957,0.4713839542480146,0.0572793690453892,0.2234079154799073,0.160488091359056,0.215499889760065,0.1191815837693595,0.1279894633418612,0.0807121535480567,11
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,ExactModeNorm,10.932,0.4374654272053964,1.0,0.0,-7.508862680648046,0.0,1.3102808313369751,0.0003093102381688,0.002,0.000535762121618,0.0050666666666666,2.0,6464.0,998.0,36.0,0.6670907082475701,0.0441095254583149,0.6180996134201431,0.0344659569211072,0.5305072079380418,0.0277172742999444,0.1050809448486807,0.0283111840830183,0.1048421017770738,0.0280970006815309,0.0656733200528282,0.0149661690761309,10
-10.0,0.01,0.98,0.0,random,0.32,64,200,45,2,1.0,15,1.0,500,1.0,gaussian,196,9196,ExactModeNorm,10.964,0.265902237673924,1.0,0.0,-9.16564294746101,0.0,1.2989592170715332,0.0001542733724159,0.001,0.0002673082063619,0.0026666666666666,1.0,6481.0,999.0,19.0,0.6668307101346119,0.04638376150284,0.6178312957530836,0.0362318342924641,0.5301770493072988,0.0275941094283411,0.105588382410368,0.030233402750016,0.1053397289357884,0.029997066462643,0.0658921017092258,0.0159989128899897,9
