snr_db,freq_sep,eig_mag,eig_mag_spread,rho_mode,delays_over_timesteps,num_delays,temporal_dim,spatial_dim,num_modes,top_amplitude,max_rank,artificial_damping,n_iter,dt,noise_mode,base_random_seed,random_seed,method,abs_diff_mean,abs_diff_std,bias_frac_over,bias_frac_under,bias_skewness,order_hit_prob,mean_time_sec,precision,recall,f1,accuracy,tp,fp,fn,tn,max_pa_clean_mean,max_pa_clean_std,sine_max_pa_clean_mean,sine_max_pa_clean_std,mean_pa_clean_mean,mean_pa_clean_std,max_pa_practical_mean,max_pa_practical_std,sine_max_pa_practical_mean,sine_max_pa_practical_std,mean_pa_practical_mean,mean_pa_practical_std,job_id
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,NestedDMD+ESR,,,0.0,0.0,,0.0,0.6245145049095154,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4815254485234518,0.0273166927553613,0.4629589467039681,0.024183798730374,0.3684066826690251,0.013621079259365,0.2098259031805652,0.0228183986891698,0.2082347302164524,0.0222894997116017,0.1352417829816057,0.0110383914728484,10
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,gaussian,196,9196,NestedDMD+ESR,,,0.0,0.0,,0.0,0.4976348714828491,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4822614655500473,0.0278755229998992,0.46360353340374,0.0246565380133598,0.368286371914677,0.0137288912418786,0.2093121002797561,0.023068417008654,0.2077311744700426,0.0225393921833582,0.1349136699797541,0.0110320877499316,9
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,hetero,196,11196,NestedDMD+ESR,,,0.0,0.0,,0.0,0.7126557440757751,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4466717299359511,0.0375923717847004,0.4316566142563106,0.0336809247991534,0.3044842436270103,0.0182227215112201,0.3105424313356518,0.0413369555417537,0.305307686035228,0.0391515864143154,0.1922363173469556,0.0200656666941533,11
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,STC,,,0.0,0.0,,0.0,0.6245145049095154,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4815254485234518,0.0273166927553613,0.4629589467039681,0.024183798730374,0.3684066826690251,0.013621079259365,0.2098259031805652,0.0228183986891698,0.2082347302164524,0.0222894997116017,0.1352417829816057,0.0110383914728484,10
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,gaussian,196,9196,STC,,,0.0,0.0,,0.0,0.4976348714828491,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4822614655500473,0.0278755229998992,0.46360353340374,0.0246565380133598,0.368286371914677,0.0137288912418786,0.2093121002797561,0.023068417008654,0.2077311744700426,0.0225393921833582,0.1349136699797541,0.0110320877499316,9
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,hetero,196,11196,STC,,,0.0,0.0,,0.0,0.7126557440757751,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4466717299359511,0.0375923717847004,0.4316566142563106,0.0336809247991534,0.3044842436270103,0.0182227215112201,0.3105424313356518,0.0413369555417537,0.305307686035228,0.0391515864143154,0.1922363173469556,0.0200656666941533,11
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,bi_gaussian,196,13196,BIC,2.0,0.0,0.0,1.0,,0.0,0.5257310681343078,,,,,,,,,0.772725560947346,0.0594693793034421,0.6968375811765642,0.0414340282662081,0.49770366950413,0.0214989574272286,0.4991647241192768,0.0718581517107258,0.4774017058312753,0.0614053832435965,0.2495348528062173,0.024691234723983,13
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,gaussian,196,12196,BIC,2.0,0.0,0.0,1.0,,0.0,0.5207626361846924,,,,,,,,,0.7716982530833454,0.0527264548841055,0.6963733351760738,0.0369910737401732,0.4978475151851111,0.0194666009390844,0.4971362250207086,0.0657382380094744,0.4758462723894098,0.0566834070332327,0.2489289402931348,0.0230654051994452,12
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,hetero,196,14196,BIC,2.0,0.0,0.0,1.0,,0.0,0.3623472909927368,,,,,,,,,1.1732855890713554,0.1682161622521177,0.909048629964697,0.0648249246301865,0.5750253930376037,0.0573900988395354,1.1101668535211873,0.1948052445789217,0.8788960269448639,0.0863561436166362,0.4841210422366481,0.0659737054341561,14
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,bi_gaussian,196,13196,ESR-Energy,0.77,0.4439594576084623,0.008,0.752,1.1095877668480416,0.24,0.5257310681343078,0.9964381121994658,0.746,0.8532215020968357,0.9486666666666668,1119.0,4.0,381.0,5996.0,0.772725560947346,0.0594693793034421,0.6968375811765642,0.0414340282662081,0.49770366950413,0.0214989574272286,0.4991647241192768,0.0718581517107258,0.4774017058312753,0.0614053832435965,0.2495348528062173,0.024691234723983,13
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,3,1.0,15,1.0,500,1.0,gaussian,196,12196,ESR-Energy,0.774,0.4182391660282428,0.004,0.77,1.403809774822102,0.226,0.5207626361846924,0.9982094897045658,0.7433333333333333,0.8521207489491784,0.9484,1115.0,2.0,385.0,5998.0,0.7716982530833454,0.0527264548841055,0.6963733351760738,0.0369910737401732,0.4978475151851111,0.0194666009390844,0.4971362250207086,0.0657382380094744,0.4758462723894098,0.0566834070332327,0.2489289402931348,0.0230654051994452,12
